id,name,prices
74021317,Cây Cam Ngọt Của Tôi,108000
157240665,Ra Bờ Suối Ngắm Hoa Kèn Hồng (Truyện Dài-Nguyễn Nhật Ánh),145000
106863963,Tâm Lý Học - Phác Họa Chân Dung Kẻ Phạm Tội,145000
156824933,Thám tử lừng danh Conan Tập 99,20000
109017985,"Thiên Tài Bên Trái, Kẻ Điên Bên Phải (Tái Bản)",179000
75953557,Tâm Lý Học Về Tiền,189000
97594364,Luật Tâm Thức - Giải Mã Ma Trận Vũ Trụ,282000
71345381,Thay Đổi Cuộc Sống Với Nhân Số Học,248000
7833728,Dạy Con Làm Giàu (Tập 1) - Để Không Có Tiền Vẫn Tạo Ra Tiền - Cha Giàu Cha Nghèo (Tái Bản),65000
46240929,Rèn Luyện Tư Duy Phản Biện,99000
147920903,Một Thoáng Ta Rực Rỡ Ở Nhân Gian,135000
26114399,"Nóng Giận Là Bản Năng , Tĩnh Lặng Là Bản Lĩnh",89000
52789367,Nhà Giả Kim (Tái Bản 2020),79000
87226756,"Những Đêm Không Ngủ, Những Ngày Chậm Trôi",86000
3608625,Payback Time - Ngày Đòi Nợ,299000
146223395,Cách thức kinh doanh và đầu cơ cổ phiếu! – How to Trade in Stocks,349000
49459956,Chủ Nghĩa Khắc Kỷ - Phong Cách Sống Bản Lĩnh Và Bình Thản,125000
85763211,Hãy Khiến Tương Lai Biết Ơn Vì Hiện Tại Bạn Đã Cố Gắng Hết Mình (Tặng Kèm: 01 Bookmark),99000
72459686,How Psychology Works - Hiểu Hết Về Tâm Lý Học,300000
10005245,Đàn Ông Sao Hỏa Đàn Bà Sao Kim,188000
54266567,Think And Grow Rich - Nghĩ Giàu Và Làm Giàu,110000
3954355,Yêu Những Điều Không Hoàn Hảo,139000
121635152,Không Ai Có Thể Làm Bạn Tổn Thương Trừ Khi Bạn Cho Phép (Tặng Kèm 1 Bộ Bookmark Gồm 4 Cái),119000
42230121,Hiểu Về Trái Tim (Tái Bản),138000
68585576,"Càng Kỷ Luật, Càng Tự Do",109000
37699918,Ba Người Thầy Vĩ Đại (Tái Bản),95000
92859698,Tâm Lý Học Biểu Cảm,98000
161593938,Dragon Quest - Dấu ấn Roto (Dragon Quest Saga Emblem of Roto) Perfect Edition - Tập 3 [Tặng Kèm Bookmark PVC],75000
75307228,OSHO - Yêu - Being In Love,168000
17879295,Chó sủa nhầm cây - Tại sao những gì ta biết về thành công có khi lại sai,150000
103640412,Đừng Lựa Chọn An Nhàn Khi Còn Trẻ (Tái Bản),99000
77774625,"Nghệ Thuật Tập Trung - Nâng Cao Năng Suất, Tối Ưu Thời Gian, Hiệu Quả Bất Ngờ",99000
73633330,"Think And Grow Rich - 13 Nguyên Tắc Nghĩ Giàu, Làm Giàu (Tái Bản)",110000
3639597,Bước Chậm Lại Giữa Thế Gian Vội Vã (Tái Bản),85000
104741661,Combo 2 Tập : 999 Lá Thư Gửi Cho Chính Mình (Tái Bản),258000
151994935,Sói Đầu Đàn Và Cún Nhỏ - Tập 1,128000
53532186,Tuyệt kỹ Giao dịch bằng đồ thị nến Nhật – Japanese Candlestick Charting Techniques,499000
145300485,Kỳ Tích Là Tên Gọi Khác Của Nỗ Lực,124000
145288029,Xứ Cát,249000
117254517,Đại Dương Đen - Những Câu Chuyện Từ Thế Giới Của Trầm Cảm,240000
57325187,Người Giàu Có Nhất Thành Babylon (Tái Bản 2020),98000
11122712,Bộ sách Làm Giàu Từ Chứng Khoán (How To Make Money In Stock) phiên bản mới + Hướng Dẫn Thực Hành CANSLIM Cho Người Mới Bắt Đầu,700000
13419678,Đi Tìm Lẽ Sống ( Tái Bản ),78000
9695881,Nghệ Thuật đầu tư Dhandho - The Dhandho Investor,238000
76388962,"Chúng Ta Rồi Sẽ Hạnh Phúc, Theo Những Cách Khác Nhau [Tặng Kèm: 01 Bookmark]",86000
73787185,Những Tù Nhân Của Địa Lý,210000
144779882,Here U Are - Tập 1,99000
1476937,Dám Bị Ghét,96000
